n_image,hex0,L0,U0,V0,size0,hex1,L1,U1,V1,size1,hex2,L2,U2,V2,size2,hex3,L3,U3,V3,size3,hex4,L4,U4,V4,size4
0023,#65584f,38.3945632829669,8.31923013550357,8.148559655667967,0.17824542389210019,#dfbf5f,78.33149996236419,26.56066197915979,62.72102327887815,0.24877067276814388,#f1edd1,93.39526236653643,3.8769244452691054,21.39129234063657,0.2163430274566474,#b58744,59.49830675718252,36.264264701654966,45.98126122576894,0.2956562098587026,#c1b5d3,75.50634245126227,4.7949317676396195,-22.536263451284416,0.06098466602440591
0024,#ddb78a,76.724565668487,27.496080230831776,36.12292125499199,0.3500436536608863,#c7a5d7,72.20122107992134,15.562714417107639,-35.59633142767823,0.16688292790622994,#e5ece5,92.70969863714801,-3.5368799209152386,4.559907255582884,0.2850890133269107,#543e44,28.76646533342388,12.28496963741486,-1.4219638782467823,0.034875762684649966,#795b4a,41.282630594772854,20.560400319415287,15.62439006407222,0.16310864242132306
0025,#cbd7e9,85.59484110542638,-7.4100896019900615,-15.832166652881133,0.09939788053949904,#d69ff9,73.50189408425402,22.775855563355872,-64.98239071092158,0.47563423249839437,#ac37f6,49.68674613617928,29.831325775189356,-118.59055362224714,0.17391417790622993,#f9d878,87.29466206692338,26.939458179936054,64.6466582972874,0.09735368497109827,#b75fde,55.61061655499714,32.94021786447601,-85.49215979338943,0.15370002408477842
0026,#dcddc5,87.4655038216823,0.7215782661784618,17.9965601360237,0.28054953436095054,#ea9774,70.09787501389333,61.097482214477694,34.420600097407096,0.16790151332691072,#cbad67,71.93599963390936,23.855203418799157,49.24191695890319,0.1589319404303147,#aaafcd,71.96941875131988,-4.364938799323236,-25.01728399232471,0.14604407514450868,#735e4f,41.555832394040856,14.09578616508803,13.314913735998292,0.24657293673731534
0027,#d3c1a0,78.76830793773506,12.997940157305493,26.35318629957336,0.17179321210661527,#bdbdd0,77.14189452310134,-1.0948162525807152,-15.19803379603337,0.19097422928709057,#966f53,50.070892726977675,28.050721586928557,24.066644071174213,0.2899295520231214,#4c474c,30.79491477380082,2.4088016746878878,-3.119522948806122,0.17801962909441232,#e7a755,73.07855108336187,50.35086605679946,56.593391504448995,0.16928337748876043
0028,#cab884,75.14177573249277,14.309378828599819,38.599007493330035,0.21987094572896596,#ebf0e1,94.06316627190614,-2.0230878014641798,10.852302530093697,0.3776483220937701,#434340,28.321202713644162,0.1559073429162497,2.154109369910149,0.08101718047527295,#926854,47.81895589318847,29.519187550175563,19.328864406969014,0.26136400128452153,#1f6279,38.56262670182641,-23.94282424268542,-24.65672981291879,0.06009955041746949
0029,#8f6f58,49.39114298138122,22.443113844734945,20.19690391889669,0.3153620745022479,#aba6c3,69.37717276967946,0.9844429218026105,-22.818810662887795,0.3793764049454078,#f5d764,86.4717473187387,25.784340721126124,72.58754121684636,0.14794827793834298,#c36955,54.4097875646662,67.22476858994366,25.744653145661253,0.06803799373795762,#d7dbb5,86.22916658547084,-0.35750374518489003,27.69718313996381,0.08927524887604367
0030,#a763da,54.24036434701428,23.27830812800408,-84.21650076749562,0.04084527536929994,#f9f1d9,95.18640572182836,6.023147613702312,18.922236286166225,0.4897674815350032,#b74eb6,50.56378909421545,48.12935964333289,-61.08113000890777,0.05362827151573539,#715259,38.31719436315038,18.434675963818407,-0.936485140607965,0.023284461303789337,#ba58e3,55.03690857356419,35.61030484140983,-91.6413224260843,0.39247451027617214
0031,#e7c48b,80.92415669137968,26.114001468721113,43.347774655639796,0.16811877809890816,#1c6077,37.741853708754206,-23.781516008603194,-24.599493190783306,0.16246638166345537,#e4efe5,93.40002892640739,-5.597354746576395,6.403559826398159,0.19847362716763006,#835d4c,43.02767221205441,26.358109473050085,16.669320060585733,0.24043633590237637,#bbc291,76.79560959084199,-1.7175704357919714,34.759929693480125,0.23050487716763005
0032,#827c6f,52.18472672346154,4.307364461006258,10.540765903461116,0.23845084698137445,#e1d8ac,86.05558375642775,7.86847248846124,33.01126087536592,0.2936215478484265,#a6a572,66.69707097843082,3.2350682615303823,36.15800917594706,0.11131683526011561,#cccec8,82.45936410258771,-0.8028818654656709,4.398976749675411,0.15716923570969812,#a19f84,64.99384238009195,2.670414007315351,20.371064236492582,0.19944153420038535
0033,#969977,62.16718836502193,-0.02825754857496993,24.666081439554233,0.2713692196531792,#ecebe3,92.92490223633966,1.0139957184305026,6.248504893201679,0.18298861994219653,#6d6754,43.641891354579776,4.658424096947334,14.531607034252294,0.3446536809569685,#cf9477,66.35031955679031,42.071571891924144,27.900144058568284,0.04883540061014772,#8d9488,60.444807699207956,-3.355586199366894,8.443815524204414,0.15215307883750803
0034,#a1a177,65.27792686715061,2.18928127188447,30.334406031351136,0.18884222463070005,#dbd5b6,85.00982408589547,5.283629878869321,23.762944544124345,0.2586288736351959,#8a846a,55.01725759789849,5.093473043309646,19.79986422949799,0.29707620825305076,#625b47,38.784036428046896,5.31151013782746,14.999106580203678,0.09753080844572896,#b3b59a,72.86858483935848,0.2699428647440737,20.06613796037613,0.15792188503532434
0035,#f1e3c4,90.60853670089342,10.152935894333126,24.59508148482705,0.47662722784200384,#634a3f,33.79332094421831,16.368342458361468,10.704389371519387,0.12171393304431599,#4668ad,44.54585465191841,-15.952926090691168,-61.13546707618917,0.06179752729608221,#ecedec,93.64877799004694,-0.504616808549056,0.6386013090971934,0.2104979527938343,#e9be97,79.83313790153709,30.325850273544898,32.95331545878801,0.12936335902376364
0036,#d3cdb4,82.2749282893311,4.951015106144568,19.48017010966656,0.13870373715478485,#9ca175,64.83700903249812,-0.7990202131286956,31.21114761744912,0.2623043111753372,#4a484b,30.875034988644153,0.9050024372266618,-1.9979492924267352,0.11763808606294156,#b1b0cd,72.76360174707443,-1.160342782166536,-23.340007580145915,0.1416531189788054,#76765e,49.02777337678084,1.2722227978153835,17.6248895725117,0.33970074662813105
0037,#c3c1c5,78.32934629437338,0.902733851522667,-2.9045977271241945,0.26202633269107256,#b3a375,67.32420924099888,12.729306510270806,34.27693136038267,0.2694675256904303,#3b4b75,32.360784345663184,-8.563732959666632,-35.37024159889449,0.09734916907514451,#432e2a,21.262056897053178,12.18877981589821,4.98860243974635,0.23534541586384072,#af4537,43.723095691545495,81.14395097408111,23.829627151033957,0.1358115566795119
0038,#e1f4b9,93.54225405618601,-8.192580516098074,40.69048761537088,0.08986432241490044,#717089,48.14028732974246,-0.9413923274272302,-20.09584263178826,0.23487024325626205,#d3cbba,81.89589016841275,5.6798844410217715,13.861761993805517,0.3274410926461143,#695543,37.67270117861603,13.662542521549032,14.902400407168825,0.3415718328516378,#b03a4f,42.494163881537766,82.89077624248587,7.4736369393981334,0.0062525088310854205
0039,#5c5b52,38.49268562071865,1.0580268285079089,6.800890501795751,0.19290803628773281,#b5b6a8,73.6148097102637,0.19296535022951458,10.626331724722688,0.0895341602440591,#828373,54.255710329436425,0.28401620309021613,12.007138252593922,0.6054215839755941,#7a644c,43.90709771073463,15.556281728592758,19.394366467410215,0.04955593689788054,#9a9363,60.46131076751999,6.935468070050833,34.271137413581556,0.06258028259473346
0040,#5f5f49,39.745692719002626,1.1369574444027202,15.752027523939503,0.5932532514450867,#c2b6a6,74.6218545611812,8.10478325091533,13.592292089788534,0.2855265534682081,#25376d,24.416581155307306,-8.061978109413447,-42.118432935938266,0.042444906069364165,#862e42,32.73681252548854,58.2357578188744,2.2481377752938734,0.011860248073217726,#c4c4c4,79.15698471315477,0.0005733044164677637,-0.01252682505642524,0.06691504094412332
0041,#d5ac6d,72.73126564632342,31.32620076026539,46.39771447833203,0.2212106615285806,#b5b0d4,73.30338495838485,0.5278194761381771,-28.578849674699708,0.23223496708413616,#e2ddbf,87.79673070774662,4.6085841906431435,22.94901191197982,0.23655918834296724,#735f48,41.684930435071635,14.099506727493585,18.384346999276605,0.07519167469492614,#aa8252,57.19342853393722,30.30522964121106,36.21933444019229,0.23480350834938984
0042,#61614f,40.66297773010652,0.9471649420750101,13.120585428396307,0.4627975473667309,#cfcfcb,83.02118359182663,0.2245727058446785,3.0919087983773608,0.17530206326268466,#acb78e,72.62146034377554,-4.430021040893533,29.00691367643998,0.12367734425176621,#722e40,29.16410154223169,42.67065190395684,-0.8171876317424663,0.026564507064868337,#777f5d,51.71371125390266,-3.0675756695535528,23.77490350126389,0.2116585380539499
0043,#d2eda4,90.29856140066656,-12.405938117311221,49.02239029289189,0.28299714996788694,#edeeeb,93.94846428753186,-0.39510552125759074,2.181840811147753,0.3011565711303789,#f4f0d3,94.42200704418161,3.9287762031906546,22.103147341235875,0.21597121868978805,#7c6159,43.58944545823037,17.50001013741877,9.330338279655692,0.06459487395632627,#ead1a2,84.84465547790975,18.410345466346453,36.4516916188696,0.13528018625561977
